model,parameters,recall,score
<tensorflow.python.keras.engine.functional.Functional object at 0x16efd8ed0>,"['EfficientNetB2', 'Dense', 'Dense']",0.8974358974358975,0.8974359035491943
<tensorflow.python.keras.engine.sequential.Sequential object at 0x1730d6410>,"['InputLayer', 'Rescaling', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Flatten', 'Dense', 'Dense']",0.5046604527296937,0.504660427570343
<tensorflow.python.keras.engine.sequential.Sequential object at 0x19854ed90>,"['InputLayer', 'Rescaling', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Flatten', 'Dense', 'Dense']",0.6538461538461539,0.6538461446762085
<tensorflow.python.keras.engine.sequential.Sequential object at 0x17372b310>,"['InputLayer', 'Rescaling', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Flatten', 'Dense', 'Dense']",0.591182364729459,0.5911823511123657
<tensorflow.python.keras.engine.sequential.Sequential object at 0x16ebbdf90>,"['InputLayer', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Conv2D', 'Dropout', 'Flatten', 'Dense', 'Dropout', 'Dense']",0.2198019801980198,0.219801977276802
<tensorflow.python.keras.engine.sequential.Sequential object at 0x16f54fad0>,"['InputLayer', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Conv2D', 'Dropout', 'Flatten', 'Dense', 'Dropout', 'Dense']",0.2415841584158415,0.2415841519832611
<tensorflow.python.keras.engine.functional.Functional object at 0x16f5cd090>,"['InputLayer', 'Conv2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'Conv2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'Conv2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'Conv2D', 'Conv2D', 'MaxPooling2D', 'Flatten', 'Dense', 'Dropout', 'Dense']",0.8589743589743589,0.8589743375778198
<tensorflow.python.keras.engine.sequential.Sequential object at 0x1705a3750>,"['InputLayer', 'Rescaling', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Flatten', 'Dense', 'Dense']",0.5722772277227722,0.5722772479057312
<tensorflow.python.keras.engine.sequential.Sequential object at 0x17352a550>,"['InputLayer', 'Rescaling', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Dropout', 'Flatten', 'Dense', 'Dense']",0.4653465346534653,0.4653465449810028
<tensorflow.python.keras.engine.sequential.Sequential object at 0x1705a3310>,"['InputLayer', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'MaxPooling2D', 'Conv2D', 'Flatten', 'Dense', 'Dense']",0.3801980198019802,0.3801980316638946
